,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
111,112,GMOインターネット株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/3,50億円,"1,542億5,600万円",〇,〇,https://www.geekly.co.jp/search/detail/253090
112,113,株式会社デザインワン・ジャパン,web系SE・PG（自社製品）,PHP,,2019/7/2,"6億4,202万円","21億1,100万円",〇,×,https://www.geekly.co.jp/search/detail/446885
113,114,株式会社ディ・エフ・エフ,web系SE・PG（自社製品）,PHP,,2019/9/3,"8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/514469
114,115,株式会社メドレー,web系SE・PG（自社製品）,Ruby,,2019/7/30,"9億7,350万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/512423
115,116,auコマース＆ライフ株式会社,web系SE・PG（自社製品）,Java,,2019/8/16,"13億3,540万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/524713
116,117,株式会社ブレイブソフト,web系SE・PG（自社製品）,"Ruby,PHP",,2019/9/11,"1,000万円","7億1,000万円",〇,×,https://www.geekly.co.jp/search/detail/446889
117,118,Sansan株式会社,web系SE・PG（自社製品）,"Python,Java,JavaScript,Go",,2019/8/26,"62億3,400万円","102億6,000万円",〇,×,https://www.geekly.co.jp/search/detail/401836
118,119,株式会社ビズリーチ,web系SE・PG（自社製品）,Java,✓,2019/8/5,41億円,"156億5,800万円",〇,×,https://www.geekly.co.jp/search/detail/503468
119,120,株式会社セグメント,web系SE・PG（自社製品）,"Java,JavaScript",,2019/5/9,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/444589
120,121,アカウンティング・サース・ジャパン株式会社,web系SE・PG（自社製品）,Java,✓,2019/9/5,"1億9,900万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520877
121,122,株式会社アピリッツ,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",✓,2019/7/3,"7億9,453万円","29億1,100万円",〇,×,https://www.geekly.co.jp/search/detail/430
122,123,株式会社Hacobu,web系SE・PG（自社製品）,"Java,JavaScript",,2019/7/18,12億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/463535
123,124,株式会社ラクス,web系SE・PG（自社製品）,該当なし,,2019/9/3,"3億7,837万円",64億800万円,〇,×,https://www.geekly.co.jp/search/detail/154288
124,125,千株式会社,web系SE・PG（自社製品）,PHP,,2019/5/31,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/3763
125,126,株式会社Onion,web系SE・PG（自社製品）,該当なし,,2019/8/28,"2億7,400万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/437427
126,127,株式会社リゾーム,web系SE・PG（自社製品）,該当なし,,2019/4/1,"1,000万円","7億9,000万円",〇,〇,https://www.geekly.co.jp/search/detail/360372
127,128,Sansan株式会社,web系SE・PG（自社製品）,Python,,2019/3/4,"62億3,400万円","102億6,000万円",〇,×,https://www.geekly.co.jp/search/detail/242100
128,129,株式会社パソナデジタルソリューションズ,web系SE・PG（自社製品）,"Ruby,PHP,Python",✓,2019/9/11,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/444597
129,130,テテマーチ株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/8,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/424118
130,131,テテマーチ株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/9,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/424120
131,132,株式会社Crunch Style,web系SE・PG（自社製品）,Ruby,✓,2019/9/3,"1億3,720万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520888
132,133,株式会社いい生活,web系SE・PG（自社製品）,Python,,2019/8/7,"6億2,841万円","19億3,453万円",〇,×,https://www.geekly.co.jp/search/detail/127417
133,134,FANTAS technology株式会社,web系SE・PG（自社製品）,"PHP,Java",,2019/6/13,1億円,80億円,〇,×,https://www.geekly.co.jp/search/detail/281530
134,135,株式会社Crunch Style,web系SE・PG（自社製品）,Ruby,✓,2019/9/3,"1億3,720万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520890
135,136,freee株式会社,web系SE・PG（自社製品）,"Ruby,Go",,2019/9/12,161億603万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/699
136,137,auコマース＆ライフ株式会社,web系SE・PG（自社製品）,Java,✓,2019/8/30,"13億3,540万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/532667
137,138,株式会社イグニス,web系SE・PG（自社製品）,該当なし,✓,2019/9/2,"22億3,217万円","48億7,400万円",〇,×,https://www.geekly.co.jp/search/detail/284354
138,139,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,"Ruby,Python,Java",✓,2019/8/6,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/291010
139,140,バトンズ株式会社,web系SE・PG（自社製品）,該当なし,,2019/4/4,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/320194
140,141,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,該当なし,,2019/9/3,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/291011
